url,tagName,value,no_of_chars,fontSize,color,height,width,fontFamily,fontWeight,fontVariant,lineHeight,letterSpacing,wordSpacing,textAlign,textDecoration,textTransform,margin,padding,backgroundColor,backgroundImage,backgroundPosition,backgroundRepeat,backgroundSize
https://tympanus.net/Development/OnScrollTextHighlight/,DIV,7381920.0,2730,52px,"rgb(184, 175, 170)",auto,auto,"parabolica, serif",300,normal,62.4px,-1.17px,0px,start,"none solid rgb(184, 175, 170)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/OnScrollTextHighlight/,H2,4390912.0,67,256px,"rgb(184, 175, 170)",307.2px,1163.1px,"parabolica, serif",700,normal,307.2px,-1.17px,0px,start,"none solid rgb(184, 175, 170)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/OnScrollTextHighlight/,H2,4390912.0,67,256px,"rgb(184, 175, 170)",307.2px,1163.1px,"parabolica, serif",700,normal,307.2px,-1.17px,0px,start,"none solid rgb(184, 175, 170)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/OnScrollTextHighlight/,H2,4390912.0,67,256px,"rgb(184, 175, 170)",307.2px,1163.1px,"parabolica, serif",700,normal,307.2px,-1.17px,0px,start,"none solid rgb(184, 175, 170)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/OnScrollTextHighlight/,H2,4390912.0,67,256px,"rgb(184, 175, 170)",307.2px,1163.1px,"parabolica, serif",700,normal,307.2px,-1.17px,0px,start,"none solid rgb(184, 175, 170)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/EntranceAnimationForImages/,BODY,214016.0,836,16px,"rgb(17, 17, 17)",auto,auto,"-apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(17, 17, 17)",none,none,none,"rgba(0, 0, 0, 0)","url(""https://tympanus.net/Development/EntranceAnimationForImages/img/noise.png""), radial-gradient(circle, rgb(227, 239, 237) 0%, rgb(140, 169, 175) 100%)","0% 0%, 0% 0%","repeat, repeat","150px, 100% 720px"
https://tympanus.net/Development/EntranceAnimationForImages/,MAIN,200704.0,784,16px,"rgb(17, 17, 17)",auto,auto,"-apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(17, 17, 17)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/EntranceAnimationForImages/,DIV,114432.0,447,16px,"rgb(17, 17, 17)",auto,auto,"-apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(17, 17, 17)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/EntranceAnimationForImages/,DIV,114432.0,447,16px,"rgb(17, 17, 17)",auto,auto,"-apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(17, 17, 17)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/EntranceAnimationForImages/,DIV,91904.0,359,16px,"rgb(17, 17, 17)",auto,auto,"-apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(17, 17, 17)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/EntranceAnimationForImages/,DIV,91904.0,359,16px,"rgb(17, 17, 17)",auto,auto,"-apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(17, 17, 17)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ImageExpansionTypography/,H2,1811353.6,490,60.8px,"rgb(255, 255, 255)",auto,auto,Coconat,400,normal,66.88px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
